"x","y","sst","chlo"
22.5,72.5,4.43099203058924,0.509580551511091
27.5,72.5,4.07333694599086,0.638300291756341
32.5,72.5,4.3081015240768,0.800483214310025
37.5,72.5,3.26428615388937,0.97817171155225
42.5,72.5,2.78969866449723,0.789516677450803
47.5,72.5,2.76069866514543,0.556484684557481
52.5,72.5,1.64360077344784,0.32525344561406
57.5,72.5,1.01782115780548,0.32403064428501
62.5,72.5,1.40801941297276,0.441065357461641
67.5,72.5,1.06562196692223,0.876611876299053
72.5,72.5,NA,NA
77.5,72.5,0.720707970002032,1.77037748942221
82.5,72.5,0.440206818864314,1.5151291323129
87.5,72.5,NA,NA
92.5,72.5,NA,NA
97.5,72.5,NA,NA
102.5,72.5,NA,NA
107.5,72.5,NA,NA
112.5,72.5,0.15668008909052,0.503203108074075
117.5,72.5,NA,NA
122.5,72.5,NA,NA
127.5,72.5,0.377644551744171,0.887097169051154
132.5,72.5,NA,NA
137.5,72.5,NA,NA
142.5,72.5,NA,NA
147.5,72.5,NA,NA
152.5,72.5,0.464545012764758,0.934294448336931
157.5,72.5,0.445868624293319,0.67948944881248
162.5,72.5,0.564676607748864,0.677582050122459
167.5,72.5,0.583079732337522,0.317212639258899
172.5,72.5,0.586514570223711,0.35771727809648
177.5,72.5,0.503880081329995,0.228093019406898
-177.5,67.5,0.903726021466816,0.33181662782311
-172.5,67.5,1.56543931686156,0.53921320480674
-167.5,67.5,2.24480388500991,0.905617814840128
-162.5,67.5,NA,NA
-157.5,67.5,NA,NA
-152.5,67.5,NA,NA
-147.5,67.5,NA,NA
-142.5,67.5,NA,NA
-137.5,67.5,0.316963997544932,0.262891002920353
-132.5,67.5,NA,NA
-127.5,67.5,NA,NA
-122.5,67.5,NA,NA
-117.5,67.5,0.274174878130973,0.167409687572745
-112.5,67.5,0.387025107090055,0.0853550597756273
-107.5,67.5,0.375751727712405,0.0983714905326013
-102.5,67.5,0.281656475185969,0.0876036520736913
-97.5,67.5,0.292703581420528,0.1047837522995
-92.5,67.5,NA,NA
-87.5,67.5,0.0905917803825233,0.0900348719702689
-82.5,67.5,0.234129161433472,0.159121369709847
-77.5,67.5,0.292565155497696,0.29568793304575
-72.5,67.5,NA,NA
-67.5,67.5,0.348490038506937,0.0737257232948172
-62.5,67.5,0.670780424821704,0.134284748730025
-57.5,67.5,1.73630516952389,0.359663825529731
-52.5,67.5,1.05924615687956,0.303169704412145
-47.5,67.5,NA,NA
-42.5,67.5,NA,NA
-37.5,67.5,0.325933326048156,0.0543454905987407
-32.5,67.5,1.47681130958329,0.170813934372531
-27.5,67.5,2.47450619469048,0.286071230694134
-22.5,67.5,2.83911347820753,0.450676888077071
-17.5,67.5,2.4580083941333,0.447489924450164
-12.5,67.5,3.45015235343864,0.485823933743975
-7.5,67.5,4.50547929744284,0.376328070577648
-2.5,67.5,6.29605124816117,0.34421710579863
2.5,67.5,7.55248814137392,0.411878347297509
7.5,67.5,8.24598523235453,0.477424121188621
12.5,67.5,6.57868700573266,0.479908406210511
17.5,67.5,1.61142450101889,0.116791546840083
22.5,67.5,NA,NA
27.5,67.5,NA,NA
32.5,67.5,0.999204375814189,0.221843685337032
37.5,67.5,2.57202679436257,1.03927717046191
42.5,67.5,2.50587205047088,1.33833668409812
47.5,67.5,1.56759012699867,0.662872354557945
52.5,67.5,1.05356189774735,0.47778115461201
57.5,67.5,NA,NA
62.5,67.5,NA,NA
67.5,67.5,NA,NA
72.5,67.5,NA,NA
77.5,67.5,NA,NA
82.5,67.5,NA,NA
87.5,67.5,NA,NA
92.5,67.5,NA,NA
97.5,67.5,NA,NA
102.5,67.5,NA,NA
107.5,67.5,NA,NA
112.5,67.5,NA,NA
117.5,67.5,NA,NA
122.5,67.5,NA,NA
127.5,67.5,NA,NA
132.5,67.5,NA,NA
137.5,67.5,NA,NA
142.5,67.5,NA,NA
147.5,67.5,NA,NA
152.5,67.5,NA,NA
157.5,67.5,NA,NA
162.5,67.5,NA,NA
167.5,67.5,NA,NA
172.5,67.5,NA,NA
177.5,67.5,0.100261456092315,0.0923842557664547
-177.5,62.5,3.67975663071399,1.25180357386117
-172.5,62.5,2.94786058225833,0.996189823746681
-167.5,62.5,3.37063788762333,1.53167438364484
-162.5,62.5,NA,NA
-157.5,62.5,NA,NA
-152.5,62.5,NA,NA
-147.5,62.5,1.04329789334714,0.122834502535838
-142.5,62.5,NA,NA
-137.5,62.5,NA,NA
-132.5,62.5,NA,NA
-127.5,62.5,NA,NA
-122.5,62.5,NA,NA
-117.5,62.5,NA,NA
-112.5,62.5,NA,NA
-107.5,62.5,NA,NA
-102.5,62.5,NA,NA
-97.5,62.5,NA,NA
-92.5,62.5,1.07910460550976,0.239393360774481
-87.5,62.5,1.7695834095208,0.227796387393717
-82.5,62.5,1.42505077833282,0.272779218394447
-77.5,62.5,0.904255188121654,0.332859639226355
-72.5,62.5,0.411929041718594,0.172939353526604
-67.5,62.5,0.324902539034158,0.250468360675775
-62.5,62.5,1.28843110546058,0.351378803983917
-57.5,62.5,3.72142688441222,0.678951145837394
-52.5,62.5,3.02584970088551,0.823291950697183
-47.5,62.5,0.608626143803553,0.13739848542717
-42.5,62.5,1.42241084783627,0.134558300204679
-37.5,62.5,6.02369373110069,0.455056550679211
-32.5,62.5,7.37346881667161,0.414051245041709
-27.5,62.5,8.37691474331692,0.483512346341827
-22.5,62.5,8.03503037595863,0.578803076186666
-17.5,62.5,7.20736060279182,0.439389379843725
-12.5,62.5,8.81807329827107,0.493687266482523
-7.5,62.5,8.27542666688165,0.507197646842925
-2.5,62.5,8.71669702738886,0.584492384300533
2.5,62.5,9.63856922900563,0.706270733447056
7.5,62.5,4.78159132830829,0.398020628964942
12.5,62.5,NA,NA
17.5,62.5,2.38921707622647,1.81878121720006
22.5,62.5,3.1274367356519,2.40947416463591
27.5,62.5,NA,NA
32.5,62.5,NA,NA
37.5,62.5,NA,NA
42.5,62.5,NA,NA
47.5,62.5,NA,NA
52.5,62.5,NA,NA
57.5,62.5,NA,NA
62.5,62.5,NA,NA
67.5,62.5,NA,NA
72.5,62.5,NA,NA
77.5,62.5,NA,NA
82.5,62.5,NA,NA
87.5,62.5,NA,NA
92.5,62.5,NA,NA
97.5,62.5,NA,NA
102.5,62.5,NA,NA
107.5,62.5,NA,NA
112.5,62.5,NA,NA
117.5,62.5,NA,NA
122.5,62.5,NA,NA
127.5,62.5,NA,NA
132.5,62.5,NA,NA
137.5,62.5,NA,NA
142.5,62.5,NA,NA
147.5,62.5,NA,NA
152.5,62.5,NA,NA
157.5,62.5,1.25919765703992,0.389986858268924
162.5,62.5,0.862289101096707,0.625159497910904
167.5,62.5,NA,NA
172.5,62.5,0.96217891367881,0.282094978711188
177.5,62.5,2.58770688660469,0.862692465326507
-177.5,57.5,4.99398044393139,0.631391322082254
-172.5,57.5,4.98101991181368,0.972103088625051
-167.5,57.5,4.88927222867921,1.27011858760966
-162.5,57.5,4.79751968443374,1.51846238718955
-157.5,57.5,3.74591774034629,0.878072721400747
-152.5,57.5,6.17867775541431,1.00123324903763
-147.5,57.5,8.02541012154403,0.678179874256667
-142.5,57.5,8.52492793445301,0.529221477917637
-137.5,57.5,6.89427912830826,0.710135363156873
-132.5,57.5,2.44616800087944,0.796853465178499
-127.5,57.5,NA,NA
-122.5,57.5,NA,NA
-117.5,57.5,NA,NA
-112.5,57.5,NA,NA
-107.5,57.5,NA,NA
-102.5,57.5,NA,NA
-97.5,57.5,NA,NA
-92.5,57.5,1.18417092260579,0.391728312076173
-87.5,57.5,1.64591720858125,0.349387972589789
-82.5,57.5,2.17805990502027,0.493663527978653
-77.5,57.5,1.48954024448396,0.638155810485801
-72.5,57.5,NA,NA
-67.5,57.5,0.243741313996401,0.165737554839019
-62.5,57.5,0.680181929241193,0.18989276619973
-57.5,57.5,3.73084956938679,0.523545728813236
-52.5,57.5,5.05165995653104,0.616361809715077
-47.5,57.5,5.23377314690494,0.535429104590375
-42.5,57.5,5.54063124189798,0.41560415555723
-37.5,57.5,6.85799660597109,0.377819592772673
-32.5,57.5,8.22530548744639,0.421253644283171
-27.5,57.5,9.33703474500471,0.448957990410703
-22.5,57.5,10.3674908562315,0.393661226612274
-17.5,57.5,10.8110620268724,0.404448209294911
-12.5,57.5,11.1085595896673,0.462462653227461
-7.5,57.5,10.3156237277612,0.829150438955123
-2.5,57.5,6.93924417359951,0.782802321387938
2.5,57.5,10.3271921302804,0.619381504789409
7.5,57.5,6.82943456957246,1.2207738834861
12.5,57.5,4.26450048338469,2.80284056108997
17.5,57.5,6.39426062096602,3.12903951323281
22.5,57.5,5.27446816914348,4.0160324317617
27.5,57.5,NA,NA
32.5,57.5,NA,NA
37.5,57.5,NA,NA
42.5,57.5,NA,NA
47.5,57.5,NA,NA
52.5,57.5,NA,NA
57.5,57.5,NA,NA
62.5,57.5,NA,NA
67.5,57.5,NA,NA
72.5,57.5,NA,NA
77.5,57.5,NA,NA
82.5,57.5,NA,NA
87.5,57.5,NA,NA
92.5,57.5,NA,NA
97.5,57.5,NA,NA
102.5,57.5,NA,NA
107.5,57.5,NA,NA
112.5,57.5,NA,NA
117.5,57.5,NA,NA
122.5,57.5,NA,NA
127.5,57.5,NA,NA
132.5,57.5,NA,NA
137.5,57.5,1.07727497592103,0.351439329618933
142.5,57.5,3.46944101041491,0.864510843450273
147.5,57.5,3.76631079544602,0.856236948188463
152.5,57.5,3.52726311560397,0.931786574619926
157.5,57.5,1.92938838280073,0.756155428052707
162.5,57.5,2.52733570739853,0.561857742984193
167.5,57.5,4.90646065422095,0.793732346018293
172.5,57.5,4.86452998386187,0.574196920903676
177.5,57.5,4.84811065552517,0.530878672338677
-177.5,52.5,5.5056986037899,0.636945307468823
-172.5,52.5,5.76555450075944,0.675329381124013
-167.5,52.5,6.17324974627637,0.763765817207836
-162.5,52.5,6.58366466765844,0.657113568313351
-157.5,52.5,6.97326107098732,0.523994545372272
-152.5,52.5,7.24802680558657,0.38398173816778
-147.5,52.5,7.75799207196573,0.321730963136069
-142.5,52.5,8.61600895093571,0.290703207994984
-137.5,52.5,9.4659730523079,0.353748880457823
-132.5,52.5,9.7640568419415,1.17124084561184
-127.5,52.5,3.42859054836503,0.775927197593782
-122.5,52.5,NA,NA
-117.5,52.5,NA,NA
-112.5,52.5,NA,NA
-107.5,52.5,NA,NA
-102.5,52.5,NA,NA
-97.5,52.5,NA,NA
-92.5,52.5,NA,NA
-87.5,52.5,NA,NA
-82.5,52.5,0.855994772533692,0.629610824664296
-77.5,52.5,0.625685518422246,0.739235165249901
-72.5,52.5,NA,NA
-67.5,52.5,NA,NA
-62.5,52.5,NA,NA
-57.5,52.5,1.83241338496829,0.688465518614415
-52.5,52.5,3.61913498855047,0.66026736521645
-47.5,52.5,7.01786326906445,0.643669010750536
-42.5,52.5,8.78475049808996,0.561976519336889
-37.5,52.5,8.87054794987595,0.537712851831069
-32.5,52.5,9.6456187658851,0.507437642663027
-27.5,52.5,10.7464089033176,0.467296673061878
-22.5,52.5,11.7304938350252,0.446536308602706
-17.5,52.5,12.513020322164,0.404818027845618
-12.5,52.5,12.4755669665197,0.539656387016488
-7.5,52.5,7.75140630822405,0.860652002732925
-2.5,52.5,4.75709618996691,0.912870684353014
2.5,52.5,8.12686324427637,1.68640345927431
7.5,52.5,3.12942516153338,1.15736729002316
12.5,52.5,NA,NA
17.5,52.5,1.21258191734113,0.937174302540995
22.5,52.5,NA,NA
27.5,52.5,NA,NA
32.5,52.5,NA,NA
37.5,52.5,NA,NA
42.5,52.5,NA,NA
47.5,52.5,NA,NA
52.5,52.5,NA,NA
57.5,52.5,NA,NA
62.5,52.5,NA,NA
67.5,52.5,NA,NA
72.5,52.5,NA,NA
77.5,52.5,NA,NA
82.5,52.5,NA,NA
87.5,52.5,NA,NA
92.5,52.5,NA,NA
97.5,52.5,NA,NA
102.5,52.5,NA,NA
107.5,52.5,NA,NA
112.5,52.5,NA,NA
117.5,52.5,NA,NA
122.5,52.5,NA,NA
127.5,52.5,NA,NA
132.5,52.5,NA,NA
